id,age,gender,province,population_group,monthly_income,education_level,employment_status,main_income_source,uses_bank_account,withdrawal_frequency,withdrawal_percentage,preferred_withdrawal_channel,reason_for_cash_use
3038,30,Female,KwaZulu-Natal,Black African,1910.0,Secondary,Employed,Salary,Yes,Monthly,57,ATM,Too little money
3039,43,Female,Eastern Cape,Black African,2720.0,Tertiary,Employed,Salary,Yes,Weekly,98,ATM,Personal preference
3040,41,Male,Gauteng,Coloured,9670.0,Secondary,Employed,Salary,Yes,Monthly,69,ATM,Too little money
3041,21,Male,KwaZulu-Natal,Black African,3880.0,Primary,Employed,Salary,Yes,Daily,91,ATM,Personal preference
3042,27,Male,North West,Black African,7280.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3043,50,Female,Western Cape,White,165020.0,Primary,Retired,Pension,Yes,Less often,40,Retail store,Personal preference
3044,36,Male,Gauteng,Black African,6840.0,Secondary,Employed,Salary,Yes,Less often,62,Retail store,To avoid fees
3045,47,Male,Limpopo,White,11900.0,Secondary,Unemployed,Remittances,Yes,Monthly,73,ATM,Too little money
3046,48,Male,KwaZulu-Natal,Black African,4810.0,Secondary,Employed,Salary,Yes,Weekly,79,ATM,Too little money
3047,29,Male,North West,Black African,4100.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3048,33,Male,Limpopo,White,4990.0,No formal education,Employed,Salary,Yes,Less often,95,ATM,Too little money
3049,36,Male,North West,Black African,1940.0,Secondary,Unemployed,Grants,Yes,Monthly,91,ATM,Personal preference
3050,18,Male,KwaZulu-Natal,Black African,2600.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
3051,50,Male,Gauteng,Black African,2480.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3052,37,Male,Gauteng,Black African,3840.0,No formal education,Employed,Salary,Yes,Weekly,100,ATM,Too little money
3053,41,Female,Mpumalanga,Coloured,3090.0,Primary,Employed,Salary,Yes,Weekly,70,Retail store,Personal preference
3054,27,Male,North West,Black African,11650.0,Secondary,Retired,Pension,No,Less often,100,None,No bank account
3055,22,Male,KwaZulu-Natal,Black African,1970.0,Primary,Unemployed,Grants,Yes,Monthly,83,Bank branch,Personal preference
3056,18,Female,Gauteng,Black African,2850.0,Secondary,Unemployed,Grants,Yes,Less often,86,ATM,Personal preference
3057,48,Female,Gauteng,Black African,14160.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3058,33,Female,North West,Black African,3560.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3059,58,Female,KwaZulu-Natal,Black African,1100.0,No formal education,Employed,Salary,Yes,Monthly,100,Retail store,Too little money
3060,31,Male,Western Cape,Black African,1960.0,Primary,Employed,Salary,Yes,Monthly,73,Retail store,Too little money
3061,31,Male,Western Cape,Black African,4450.0,Primary,Self-employed,Grants,Yes,Weekly,81,ATM,Too little money
3062,28,Female,KwaZulu-Natal,Black African,3450.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3063,36,Male,Limpopo,Black African,3820.0,Primary,Self-employed,Other,Yes,Monthly,83,ATM,Too little money
3064,24,Female,Western Cape,Black African,5550.0,Tertiary,Employed,Salary,Yes,Monthly,67,ATM,Too little money
3065,29,Male,Western Cape,Black African,7860.0,Secondary,Employed,Salary,Yes,Monthly,42,Bank branch,Too little money
3066,32,Female,KwaZulu-Natal,White,23960.0,Secondary,Retired,Pension,Yes,Monthly,69,Retail store,Too little money
3067,45,Female,KwaZulu-Natal,Black African,14870.0,Secondary,Employed,Salary,Yes,Less often,28,ATM,Personal preference
3068,18,Male,Western Cape,Black African,5990.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3069,56,Male,Eastern Cape,Black African,2210.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3070,18,Female,Western Cape,Black African,3490.0,Secondary,Employed,Salary,Yes,Daily,59,ATM,Too little money
3071,44,Male,KwaZulu-Natal,Black African,1250.0,Primary,Self-employed,Remittances,No,Less often,100,None,No bank account
3072,39,Female,Mpumalanga,Coloured,1410.0,No formal education,Self-employed,Remittances,Yes,Monthly,56,ATM,To avoid fees
3073,37,Female,North West,Black African,12880.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3074,34,Male,North West,Black African,3530.0,No formal education,Employed,Salary,Yes,Weekly,73,ATM,Too little money
3075,44,Male,KwaZulu-Natal,Black African,4860.0,Primary,Employed,Salary,Yes,Monthly,47,ATM,Too little money
3076,38,Female,Gauteng,White,47120.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
3077,48,Female,KwaZulu-Natal,Black African,5170.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3078,29,Male,Eastern Cape,Black African,1960.0,Primary,Employed,Salary,Yes,Weekly,54,ATM,Privacy
3079,30,Male,Limpopo,Black African,6690.0,Secondary,Employed,Salary,Yes,Monthly,72,ATM,Too little money
3080,32,Female,Limpopo,Black African,2550.0,Primary,Self-employed,Grants,No,Less often,100,None,No bank account
3081,33,Male,Free State,Black African,4980.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
3082,36,Female,Free State,Black African,10900.0,Primary,Employed,Salary,Yes,Less often,21,ATM,To avoid fees
3083,34,Female,Western Cape,Black African,33870.0,Tertiary,Employed,Salary,Yes,Weekly,54,ATM,Personal preference
3084,38,Male,KwaZulu-Natal,Black African,1700.0,Secondary,Unemployed,Other,Yes,Monthly,100,ATM,Personal preference
3085,18,Female,Mpumalanga,Black African,2950.0,Primary,Unemployed,Remittances,No,Less often,100,None,No bank account
3086,37,Male,North West,Black African,1100.0,Tertiary,Unemployed,Grants,Yes,Less often,100,ATM,Personal preference
3087,43,Male,Limpopo,Black African,3820.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3088,30,Female,KwaZulu-Natal,Coloured,6400.0,Primary,Employed,Salary,Yes,Weekly,62,ATM,Personal preference
3089,18,Male,Gauteng,Black African,10970.0,Secondary,Retired,Grants,Yes,Monthly,69,Retail store,Too little money
3090,41,Other,Mpumalanga,Black African,860.0,Tertiary,Student,Salary,No,Less often,100,None,No bank account
3091,31,Male,Eastern Cape,White,1510.0,Secondary,Student,Salary,No,Less often,100,None,No bank account
3092,49,Female,Free State,Black African,1970.0,No formal education,Self-employed,Salary,Yes,Less often,59,ATM,To avoid fees
3093,50,Other,Western Cape,Black African,14540.0,Secondary,Employed,Salary,Yes,Monthly,44,Retail store,Too little money
3094,30,Male,KwaZulu-Natal,Black African,8460.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3095,30,Female,Western Cape,Black African,7380.0,Secondary,Employed,Salary,Yes,Weekly,41,Bank branch,To avoid fees
3096,31,Male,Mpumalanga,Black African,16760.0,Secondary,Self-employed,Other,No,Less often,100,None,No bank account
3097,43,Male,North West,Coloured,3900.0,No formal education,Retired,Pension,Yes,Weekly,55,Retail store,Too little money
3098,34,Male,Western Cape,Black African,930.0,Primary,Unemployed,Grants,Yes,Less often,73,ATM,Personal preference
3099,32,Male,KwaZulu-Natal,Black African,2590.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3100,32,Male,Mpumalanga,Black African,1230.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
3101,41,Male,KwaZulu-Natal,Black African,3570.0,No formal education,Employed,Salary,Yes,Daily,87,ATM,Personal preference
3102,36,Female,KwaZulu-Natal,Coloured,3950.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
3103,41,Female,Gauteng,Black African,5210.0,Secondary,Employed,Salary,Yes,Monthly,54,ATM,Personal preference
3104,40,Female,KwaZulu-Natal,Black African,3550.0,No formal education,Employed,Salary,Yes,Less often,65,ATM,Too little money
3105,30,Male,Free State,Black African,3560.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3106,29,Male,Northern Cape,Black African,3350.0,Secondary,Employed,Salary,Yes,Monthly,99,ATM,To avoid fees
3107,18,Male,KwaZulu-Natal,Black African,8300.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3108,38,Female,KwaZulu-Natal,White,11280.0,Secondary,Unemployed,Grants,Yes,Monthly,42,ATM,Too little money
3109,22,Male,Gauteng,Black African,10300.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
3110,46,Female,Limpopo,Black African,1270.0,Primary,Unemployed,Remittances,No,Less often,100,None,No bank account
3111,30,Male,North West,Black African,2590.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3112,31,Male,KwaZulu-Natal,Black African,2240.0,Secondary,Unemployed,Grants,Yes,Monthly,82,Retail store,Personal preference
3113,18,Male,Limpopo,Black African,3690.0,No formal education,Employed,Salary,Yes,Daily,57,Retail store,Personal preference
3114,44,Female,KwaZulu-Natal,Black African,9020.0,Primary,Employed,Salary,Yes,Monthly,54,ATM,Personal preference
3115,31,Female,Gauteng,Black African,48040.0,Tertiary,Employed,Salary,Yes,Monthly,36,ATM,Personal preference
3116,26,Female,Gauteng,Black African,4160.0,Secondary,Employed,Salary,Yes,Monthly,100,ATM,Too little money
3117,32,Female,Gauteng,Black African,4140.0,No formal education,Unemployed,Remittances,Yes,Less often,64,ATM,Too little money
3118,40,Female,Gauteng,Black African,4130.0,Secondary,Employed,Salary,Yes,Weekly,100,Retail store,Too little money
3119,46,Male,Western Cape,Coloured,41210.0,Primary,Employed,Salary,Yes,Daily,27,Bank branch,Too little money
3120,47,Male,Western Cape,White,20510.0,Secondary,Unemployed,Remittances,Yes,Monthly,52,ATM,Personal preference
3121,30,Male,KwaZulu-Natal,Black African,9300.0,Secondary,Unemployed,Grants,Yes,Weekly,70,Retail store,Too little money
3122,34,Male,KwaZulu-Natal,Black African,16100.0,Tertiary,Unemployed,Remittances,Yes,Weekly,34,Retail store,Too little money
3123,52,Male,Eastern Cape,Black African,4970.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3124,36,Female,Northern Cape,Black African,13730.0,Secondary,Employed,Salary,Yes,Weekly,81,ATM,Too little money
3125,39,Female,Mpumalanga,Black African,4020.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
3126,48,Male,Gauteng,Black African,5260.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3127,22,Male,North West,Black African,9660.0,Secondary,Employed,Salary,Yes,Monthly,50,ATM,Too little money
3128,30,Female,Mpumalanga,Black African,1990.0,No formal education,Unemployed,Grants,Yes,Monthly,80,ATM,To avoid fees
3129,37,Male,KwaZulu-Natal,Black African,7300.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3130,41,Female,KwaZulu-Natal,Black African,610.0,Primary,Student,Remittances,Yes,Less often,87,ATM,Too little money
3131,45,Female,Limpopo,Black African,1570.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3132,57,Male,Gauteng,Black African,6100.0,Secondary,Employed,Salary,Yes,Monthly,68,ATM,Too little money
3133,18,Female,Northern Cape,Black African,2820.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
3134,44,Female,Eastern Cape,White,7230.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3135,38,Female,Gauteng,Black African,37350.0,Tertiary,Employed,Salary,Yes,Less often,54,ATM,To avoid fees
3136,45,Female,KwaZulu-Natal,Black African,1260.0,No formal education,Unemployed,Grants,Yes,Monthly,87,ATM,Too little money
3137,24,Male,KwaZulu-Natal,Black African,3580.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3138,52,Male,Gauteng,Black African,1150.0,Primary,Employed,Salary,Yes,Weekly,58,ATM,To avoid fees
3139,25,Female,KwaZulu-Natal,Black African,4510.0,No formal education,Self-employed,Remittances,No,Less often,100,None,No bank account
3140,39,Female,KwaZulu-Natal,Black African,5230.0,Primary,Employed,Salary,Yes,Less often,61,ATM,Personal preference
3141,39,Female,Northern Cape,Coloured,2500.0,Primary,Unemployed,Grants,Yes,Monthly,56,ATM,Personal preference
3142,39,Female,Eastern Cape,Black African,9380.0,Secondary,Self-employed,Grants,No,Less often,100,None,No bank account
3143,36,Male,Free State,Black African,11270.0,No formal education,Employed,Salary,Yes,Weekly,44,ATM,Personal preference
3144,22,Male,Eastern Cape,Black African,870.0,Secondary,Unemployed,Grants,Yes,Weekly,82,Retail store,Too little money
3145,25,Female,Gauteng,Black African,11290.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3146,18,Male,Western Cape,White,41260.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
3147,30,Female,Mpumalanga,Black African,780.0,Primary,Unemployed,Other,No,Less often,100,None,No bank account
3148,18,Female,North West,Black African,1390.0,Primary,Unemployed,Remittances,No,Less often,100,None,No bank account
3149,35,Male,Gauteng,Black African,8150.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3150,42,Male,North West,Black African,3100.0,Primary,Unemployed,Grants,Yes,Less often,67,Retail store,Privacy
3151,32,Male,KwaZulu-Natal,Black African,2090.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
3152,23,Female,North West,White,30990.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3153,18,Male,North West,Black African,13130.0,Primary,Unemployed,Remittances,Yes,Less often,29,ATM,Too little money
3154,37,Male,Western Cape,Black African,12790.0,Tertiary,Employed,Salary,Yes,Monthly,34,ATM,Personal preference
3155,36,Female,Western Cape,Black African,17080.0,Tertiary,Student,Salary,Yes,Monthly,44,ATM,Personal preference
3156,53,Male,KwaZulu-Natal,Black African,14270.0,Primary,Self-employed,Salary,Yes,Weekly,74,ATM,Too little money
3157,23,Female,Mpumalanga,Black African,3050.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3158,26,Male,Mpumalanga,Black African,5790.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3159,20,Female,Eastern Cape,Black African,3010.0,Primary,Employed,Salary,Yes,Weekly,80,Bank branch,Personal preference
3160,21,Male,KwaZulu-Natal,Black African,1710.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
3161,44,Female,KwaZulu-Natal,Black African,2130.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
3162,18,Female,KwaZulu-Natal,Black African,4180.0,Primary,Self-employed,Salary,Yes,Weekly,55,ATM,Personal preference
3163,49,Male,Limpopo,Black African,2910.0,Tertiary,Employed,Salary,Yes,Monthly,69,ATM,Too little money
3164,29,Female,KwaZulu-Natal,White,22340.0,Tertiary,Employed,Salary,Yes,Monthly,33,Retail store,Too little money
3165,26,Male,Mpumalanga,Black African,4790.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3166,19,Female,Gauteng,Black African,15090.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3167,42,Male,KwaZulu-Natal,Black African,3900.0,No formal education,Unemployed,Grants,Yes,Monthly,70,ATM,Personal preference
3168,47,Male,KwaZulu-Natal,Black African,2270.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3169,43,Male,Eastern Cape,Black African,1650.0,Secondary,Unemployed,Grants,Yes,Monthly,64,ATM,Personal preference
3170,46,Male,Eastern Cape,Black African,11190.0,Secondary,Employed,Salary,Yes,Monthly,44,ATM,Too little money
3171,30,Female,Gauteng,Black African,3790.0,Primary,Employed,Salary,Yes,Weekly,79,Retail store,To avoid fees
3172,35,Female,Gauteng,Black African,16280.0,Secondary,Employed,Salary,Yes,Monthly,60,Retail store,Personal preference
3173,28,Male,Limpopo,Black African,1810.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3174,19,Female,Gauteng,Black African,11890.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3175,18,Male,Gauteng,Black African,11410.0,Secondary,Employed,Salary,Yes,Weekly,55,ATM,Too little money
3176,39,Male,KwaZulu-Natal,Black African,1780.0,Primary,Unemployed,Grants,Yes,Monthly,75,Retail store,Privacy
3177,37,Female,KwaZulu-Natal,Black African,5610.0,Secondary,Employed,Salary,Yes,Weekly,61,ATM,Personal preference
3178,50,Male,Western Cape,Coloured,17790.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3179,48,Male,Mpumalanga,Black African,950.0,Primary,Unemployed,Grants,Yes,Less often,100,ATM,Personal preference
3180,48,Female,Limpopo,Coloured,920.0,Secondary,Self-employed,Salary,Yes,Weekly,100,ATM,Too little money
3181,20,Male,Gauteng,Black African,8000.0,Tertiary,Unemployed,Grants,Yes,Monthly,80,ATM,Too little money
3182,38,Male,North West,Black African,960.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3183,52,Female,Gauteng,White,16560.0,Secondary,Employed,Salary,Yes,Monthly,54,ATM,To avoid fees
3184,18,Male,KwaZulu-Natal,Black African,7310.0,No formal education,Employed,Salary,Yes,Weekly,55,ATM,Personal preference
3185,18,Female,Gauteng,Black African,4820.0,Primary,Employed,Salary,Yes,Daily,80,Retail store,Too little money
3186,57,Female,Eastern Cape,Black African,6020.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3187,21,Female,Western Cape,White,187890.0,Secondary,Employed,Salary,Yes,Weekly,34,ATM,To avoid fees
3188,18,Male,Eastern Cape,Black African,3740.0,Tertiary,Unemployed,Remittances,Yes,Monthly,85,ATM,Too little money
3189,19,Male,KwaZulu-Natal,Black African,4110.0,Tertiary,Unemployed,Grants,Yes,Daily,75,ATM,Other
3190,48,Female,Eastern Cape,White,9720.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3191,26,Female,Western Cape,White,33100.0,Tertiary,Employed,Salary,Yes,Less often,28,ATM,Too little money
3192,34,Female,Gauteng,Black African,30460.0,Tertiary,Self-employed,Other,No,Less often,100,None,No bank account
3193,40,Female,Western Cape,White,14890.0,Primary,Self-employed,Grants,No,Less often,100,None,No bank account
3194,18,Female,Eastern Cape,Black African,1530.0,No formal education,Employed,Salary,Yes,Less often,64,ATM,To avoid fees
3195,18,Male,Western Cape,Black African,8810.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3196,18,Female,Free State,Black African,1050.0,Primary,Unemployed,Grants,Yes,Less often,57,Retail store,Personal preference
3197,25,Female,Eastern Cape,White,19200.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3198,27,Male,Gauteng,Black African,10670.0,Tertiary,Self-employed,Grants,No,Less often,100,None,No bank account
3199,39,Male,KwaZulu-Natal,Black African,7810.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3200,45,Male,North West,White,3650.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3201,25,Female,Gauteng,Coloured,2460.0,Secondary,Employed,Salary,Yes,Less often,88,Retail store,Personal preference
3202,27,Female,Gauteng,Black African,1890.0,Secondary,Unemployed,Grants,Yes,Weekly,65,ATM,Too little money
3203,18,Male,Eastern Cape,Black African,5140.0,Tertiary,Employed,Salary,Yes,Monthly,77,ATM,Too little money
3204,42,Male,North West,Black African,1550.0,Secondary,Self-employed,Salary,No,Less often,100,None,No bank account
3205,29,Male,Gauteng,Black African,7850.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3206,36,Female,Limpopo,Black African,2200.0,Primary,Employed,Salary,Yes,Monthly,93,ATM,Too little money
3207,18,Male,Eastern Cape,Black African,3940.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
3208,30,Male,Gauteng,Black African,11600.0,Secondary,Self-employed,Salary,No,Less often,100,None,No bank account
3209,51,Other,Gauteng,Black African,2470.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3210,30,Male,Eastern Cape,Coloured,3320.0,Tertiary,Unemployed,Grants,Yes,Weekly,94,Retail store,Personal preference
3211,62,Male,KwaZulu-Natal,White,14110.0,Secondary,Retired,Pension,Yes,Monthly,76,ATM,Personal preference
3212,43,Female,KwaZulu-Natal,Black African,2540.0,No formal education,Unemployed,Grants,Yes,Less often,91,ATM,Personal preference
3213,29,Female,Gauteng,Black African,4450.0,Primary,Employed,Salary,Yes,Weekly,64,ATM,To avoid fees
3214,28,Male,Gauteng,Black African,2400.0,Primary,Unemployed,Grants,Yes,Monthly,51,ATM,Personal preference
3215,44,Male,Gauteng,Black African,10360.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3216,24,Male,KwaZulu-Natal,Black African,1820.0,Primary,Unemployed,Other,No,Less often,100,None,No bank account
3217,31,Female,North West,Black African,2910.0,No formal education,Self-employed,Salary,Yes,Less often,51,ATM,To avoid fees
3218,58,Male,KwaZulu-Natal,Black African,2380.0,Tertiary,Employed,Salary,Yes,Less often,100,ATM,Personal preference
3219,29,Male,North West,Black African,10840.0,Primary,Employed,Salary,Yes,Less often,34,ATM,Personal preference
3220,29,Male,Limpopo,Black African,6270.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3221,50,Male,KwaZulu-Natal,Black African,2760.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3222,45,Female,Gauteng,Black African,7890.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3223,30,Male,Western Cape,Coloured,14120.0,Secondary,Employed,Salary,Yes,Weekly,84,Retail store,Other
3224,21,Male,KwaZulu-Natal,Black African,5880.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3225,42,Female,Western Cape,Black African,2190.0,Secondary,Unemployed,Grants,Yes,Daily,98,ATM,Personal preference
3226,20,Male,Gauteng,Black African,10640.0,Tertiary,Self-employed,Salary,No,Less often,100,None,No bank account
3227,40,Male,Mpumalanga,Coloured,10660.0,Secondary,Employed,Salary,Yes,Weekly,53,Bank branch,Other
3228,59,Female,Gauteng,Black African,9260.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3229,32,Male,KwaZulu-Natal,Black African,13000.0,Primary,Unemployed,Grants,Yes,Monthly,59,Retail store,Personal preference
3230,49,Male,Western Cape,Black African,2840.0,Secondary,Student,Salary,Yes,Weekly,76,Retail store,Other
3231,29,Male,KwaZulu-Natal,Black African,7060.0,Secondary,Unemployed,Grants,Yes,Monthly,53,ATM,Personal preference
3232,32,Male,Gauteng,Black African,4870.0,Primary,Employed,Salary,Yes,Less often,100,Retail store,Personal preference
3233,38,Male,KwaZulu-Natal,Black African,5270.0,Primary,Employed,Salary,Yes,Weekly,83,Retail store,Too little money
3234,49,Male,Eastern Cape,Black African,2750.0,Primary,Self-employed,Other,Yes,Monthly,100,ATM,Personal preference
3235,35,Male,North West,Black African,7550.0,Secondary,Employed,Salary,Yes,Less often,64,ATM,Too little money
3236,52,Male,KwaZulu-Natal,Black African,4360.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
3237,44,Male,KwaZulu-Natal,White,13910.0,Tertiary,Unemployed,Other,No,Less often,100,None,No bank account
3238,34,Male,Limpopo,Black African,3450.0,Secondary,Employed,Salary,Yes,Daily,100,ATM,Too little money
3239,31,Male,Limpopo,Black African,1450.0,No formal education,Self-employed,Salary,Yes,Monthly,100,ATM,Too little money
3240,40,Male,Gauteng,White,73190.0,Tertiary,Employed,Salary,Yes,Weekly,15,Bank branch,Privacy
3241,41,Female,Western Cape,White,24630.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3242,34,Female,North West,Black African,1350.0,Primary,Self-employed,Remittances,No,Less often,100,None,No bank account
3243,25,Male,Limpopo,Black African,6760.0,Secondary,Retired,Pension,Yes,Daily,79,ATM,Too little money
3244,32,Female,KwaZulu-Natal,Black African,5680.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3245,29,Other,Eastern Cape,Black African,3070.0,Secondary,Self-employed,Salary,Yes,Weekly,66,ATM,Personal preference
3246,31,Male,Gauteng,White,23730.0,Tertiary,Self-employed,Salary,No,Less often,100,None,No bank account
3247,26,Female,Northern Cape,Black African,2900.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3248,36,Female,Western Cape,Black African,13280.0,Secondary,Student,Salary,No,Less often,100,None,No bank account
3249,48,Female,Gauteng,Black African,3250.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3250,34,Male,Eastern Cape,Black African,1790.0,Primary,Employed,Salary,Yes,Less often,80,ATM,Privacy
3251,35,Female,Mpumalanga,Black African,780.0,Secondary,Self-employed,Remittances,No,Less often,100,None,No bank account
3252,45,Female,Western Cape,Black African,3800.0,Secondary,Employed,Salary,Yes,Monthly,89,ATM,Too little money
3253,42,Male,Mpumalanga,Coloured,2290.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
3254,46,Male,Mpumalanga,Black African,4370.0,No formal education,Employed,Salary,Yes,Daily,53,Retail store,Too little money
3255,42,Female,North West,Black African,1440.0,Secondary,Employed,Salary,Yes,Weekly,40,Bank branch,Personal preference
3256,31,Female,Eastern Cape,Black African,2230.0,Primary,Self-employed,Salary,Yes,Less often,80,ATM,Personal preference
3257,43,Female,Eastern Cape,Black African,2720.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3258,48,Female,North West,Black African,4390.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3259,52,Female,KwaZulu-Natal,Black African,2210.0,Tertiary,Unemployed,Other,No,Less often,100,None,No bank account
3260,26,Male,Free State,Black African,6740.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3261,39,Female,Gauteng,Black African,4440.0,Tertiary,Retired,Grants,Yes,Monthly,70,ATM,Personal preference
3262,65,Male,Gauteng,Black African,5900.0,Secondary,Unemployed,Remittances,Yes,Weekly,55,ATM,To avoid fees
3263,51,Male,Mpumalanga,Black African,5170.0,Primary,Employed,Salary,Yes,Weekly,29,ATM,To avoid fees
3264,29,Female,Gauteng,Black African,9710.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
3265,47,Female,Northern Cape,Black African,10740.0,Secondary,Student,Other,Yes,Monthly,23,Retail store,Personal preference
3266,27,Female,KwaZulu-Natal,Black African,30710.0,Secondary,Employed,Salary,Yes,Weekly,55,ATM,Personal preference
3267,28,Female,Eastern Cape,Black African,10140.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
3268,61,Female,Mpumalanga,Black African,2140.0,Primary,Retired,Pension,No,Less often,100,None,No bank account
3269,32,Male,Western Cape,Black African,24130.0,Primary,Employed,Salary,Yes,Monthly,43,ATM,Too little money
3270,28,Female,Eastern Cape,Coloured,15350.0,Tertiary,Self-employed,Remittances,Yes,Monthly,82,Retail store,Too little money
3271,36,Female,Western Cape,Black African,12650.0,Tertiary,Unemployed,Grants,Yes,Monthly,54,ATM,Personal preference
3272,36,Female,Mpumalanga,Indian/Asian,5240.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3273,18,Female,North West,Black African,6800.0,No formal education,Unemployed,Grants,Yes,Monthly,53,ATM,Too little money
3274,34,Female,Free State,Black African,6630.0,Secondary,Employed,Salary,Yes,Weekly,31,ATM,Too little money
3275,25,Male,Gauteng,Black African,2460.0,No formal education,Employed,Salary,Yes,Weekly,84,ATM,Too little money
3276,46,Female,Western Cape,Black African,5470.0,Tertiary,Student,Salary,Yes,Monthly,3,ATM,Personal preference
3277,28,Male,KwaZulu-Natal,White,21080.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
3278,18,Male,Eastern Cape,Black African,16790.0,Primary,Employed,Salary,Yes,Weekly,86,ATM,Too little money
3279,36,Female,KwaZulu-Natal,Black African,1580.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
3280,43,Female,Western Cape,Black African,2240.0,Primary,Employed,Salary,Yes,Monthly,82,ATM,Personal preference
3281,18,Male,KwaZulu-Natal,Black African,1170.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
3282,30,Male,Gauteng,Coloured,2400.0,No formal education,Self-employed,Remittances,No,Less often,100,None,No bank account
3283,28,Male,Gauteng,Black African,4640.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
3284,32,Female,North West,Black African,4790.0,Primary,Employed,Salary,Yes,Less often,67,ATM,Personal preference
3285,56,Male,Gauteng,Black African,4770.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
